Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
Coconuco,Coconuco [26010020],	1947-01-01,,Operational,Unknown,Land (fixed),0-170-0-26010020|primary,South America,Brazil,Colombia,2.343361,-76.4955,2419,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,22|510,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Dinde,Dinde [26030070],	1975-12-01,,Operational,Unknown,Land (fixed),0-170-0-26030070|primary,South America,Brazil,Colombia,2.697417,-76.754722,1246,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,14|560,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
EL BANCO AUT,,	1934-01-15,,Operational,Unknown,Land (fixed),0-170-0-25027020|primary,South America,Brazil,Colombia,8.99253,-73.96944,29,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
EL BANCO/LAS FLORES,,,,Operational,Unknown,Land (fixed),0-20000-0-80074|primary,South America,Brazil,Colombia,9.0666666667,-73.9833333333,34,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
EL CALVARIO - AUT,,	2018-04-13,,Operational,Unknown,Land (fixed),0-170-0-3503500062|primary,South America,Brazil,Colombia,4.3502,-73.71152,2014,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GBON:Operational,	2022-11-10,COL NMHS
EL JUNCAL,,	1965-11-15,,Operational,Unknown,Land (fixed),0-170-0-21095010|primary,South America,Brazil,Colombia,2.8288,-75.33117,484,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
EL LIBANO,,	1985-12-15,,Operational,Operational,Land (fixed),0-170-0-21035040|primary,South America,Brazil,Colombia,1.87,-75.83,1045,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
EL PEPINO - AUT,,	2005-11-11,,Operational,Silent,Land (fixed),0-170-0-44015070|primary,South America,Brazil,Colombia,1.0829,-76.6671,760,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Steppe - Hot arid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2022-03-30,Jorge Andres Gonzalez Rojas
EL TABLAZO - AUT,,	2005-06-28,,Operational,Unknown,Land (fixed),0-170-0-26015010|primary,South America,Brazil,Colombia,2.47489,-76.58128,1837,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
EL TAMBO - AUT,,	2017-06-30,,Operational,Unknown,Land (fixed),0-170-0-26030160|primary,South America,Brazil,Colombia,2.463056,-76.812292,1700,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Operational,	2023-06-20,COL NMHS
EL TUNEL,,	2016-12-31,,Operational,Operational,Land (fixed),0-170-0-35165000|primary,South America,Brazil,Colombia,5.57497,-72.941,3074,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
ELDORADO CATAM - AUT,,	2002-10-30,,Operational,Unknown,Land (fixed),0-170-0-21205791|primary,South America,Brazil,Colombia,4.70558,-74.15067,2547,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Warm temperate - Dry and warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within hills of high altitude,,"GBON:Operational, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
EMAS - AUT,,	2004-06-10,,Operational,Silent,Land (fixed),0-170-0-26155230|primary,South America,Brazil,Colombia,5.0853,-75.5071,2211,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
ESCUELA AGRICOLA CARRAIPIA  - AUT,,	1968-10-14,,Operational,Operational,Land (fixed),0-170-0-15085030|primary,South America,Brazil,Colombia,11.2168,-72.3599,118,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,15|270,GOS General:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
ESCUELA NAVAL CIOH AUT,,	1991-07-15,,Operational,Unknown,Land (fixed),0-170-0-14019030|primary,South America,Brazil,Colombia,10.3906,-75.53383,1,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
El Rosario,El Rosario [26020230],	1971-04-13,,Operational,Unknown,Land (fixed),0-170-0-26020230|primary,South America,Brazil,Colombia,2.606556,-76.756083,1767,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,36|540,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Esc VOC De Tunia,Esc VOC De Tunia [26020060],	1980-05-15,,Operational,Unknown,Land (fixed),0-170-0-26020060|primary,South America,Brazil,Colombia,2.7,-76.516667,1800,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,27|620,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Escuela Rio Sucio 2,Escuela Rio Sucio 2 [21050310],	1984-01-01,,Operational,Unknown,Land (fixed),0-170-0-21050310|primary,South America,Brazil,Colombia,2.446833,-76.168917,2750,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,9|310,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
FLORENCIA - AUT,,	2006-02-03,,Operational,Silent,Land (fixed),0-170-0-44035040|primary,South America,Brazil,Colombia,1.733,-75.645,600,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
FLORENCIA/CAPITOLIO,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80354|primary,South America,Brazil,Colombia,1.6,-75.5333333333,244,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
Florida La GJA,"Florida La GJA [21010220],Morelia,Morelia [21010220]",	1962-01-01,,Operational,Unknown,Land (fixed),0-170-0-21010220|primary,South America,Brazil,Colombia,2.533333,-76.616667,1600,GPS,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,8|280,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
GABRIEL_LOPEZ,GABRIEL LOPEZ,	1971-04-15,,Operational,Unknown,Land (fixed),0-170-0-26025070|primary,South America,Brazil,Colombia,2.50975,-76.289056,3071,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,|,GOS General:Operational,	2023-06-20,COL NMHS
GIRARDOT/SANTIAGO VILLA,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80219|primary,South America,Brazil,Colombia,4.2833333333,-74.8,286,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2016-04-28,
GORGONA GUAPI,,	2005-09-18,,Operational,Unknown,Land (fixed),0-170-0-57025020|primary,South America,Brazil,Colombia,2.96294,-78.17436,10,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
GRANJA EL MIRA - - AUT,,	2016-08-01,,Operational,Silent,Land (fixed),0-170-0-51025090|primary,South America,Brazil,Colombia,1.55,-78.7,16,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
GUAMO,,	1953-12-15,,Operational,Operational,Land (fixed),0-170-0-21185030|primary,South America,Brazil,Colombia,4.00883,-74.98139,324,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
GUAPI,,	1980-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80300|primary,South America,Brazil,Colombia,2.5833333333,-77.9,54,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
GUAYABETAL POLLO OLIMPICO AUT,,	2019-07-25,,Operational,Unknown,Land (fixed),0-170-0-3502500135|primary,South America,Brazil,Colombia,4.22553,-73.81481,1293,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
GUTIERREZ,,	1984-07-15,,Operational,Operational,Land (fixed),0-170-0-35020300|primary,South America,Brazil,Colombia,4.25501,-74.00161,2289,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
Gamboa,Gamboa [26030060],	1974-05-19,,Operational,Unknown,Land (fixed),0-170-0-26030060|primary,South America,Brazil,Colombia,2.625583,-76.853611,2171,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,11|500,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
HACIENDA CENTENARIO,,	1976-12-15,,Operational,Partly operational,Land (fixed),0-170-0-28025090|primary,South America,Brazil,Colombia,9.85025,-73.26547,100,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
HACIENDA PEREZ,,	1966-07-15,,Operational,Partly operational,Land (fixed),0-170-0-21130050|primary,South America,Brazil,Colombia,3.24356,-75.25594,397,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
HACIENDA POTOSI,,	1986-12-15,,Operational,Partly operational,Land (fixed),0-170-0-21105040|primary,South America,Brazil,Colombia,2.6968,-75.29889,680,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
HACIENDA SUECIA - AUT [26035100],,	2005-11-22,,Operational,Unknown,Land (fixed),0-170-0-26035100|primary,South America,Brazil,Colombia,2.479556,-76.82775,1755,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Operational,	2023-06-20,COL NMHS
HATO LAGUNA AUT,,	2016-12-31,,Operational,Unknown,Land (fixed),0-170-0-35167010|primary,South America,Brazil,Colombia,5.58444,-72.90008,3020,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
HERRERA AUT,,	2018-04-15,,Operational,Unknown,Land (fixed),0-170-0-2201500047|primary,South America,Brazil,Colombia,3.28414,-75.80245,1615,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
Hacienda Meremberg,Hacienda Meremberg [21050190],	1980-06-09,,Operational,Unknown,Land (fixed),0-170-0-21050190|primary,South America,Brazil,Colombia,2.218056,-76.117361,2220,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,10|270,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
IBAGUE - AUT,,	2017-12-18,,Operational,Silent,Land (fixed),0-170-0-2121500048|primary,South America,Brazil,Colombia,4.4188,-75.2059,1254,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
IBAGUE/PERALES,,	1970-11-15,,Operational,Partly operational,Land (fixed),0-20000-0-80214|primary,South America,Brazil,Colombia,4.4333333333,-75.15,928,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
IDEAM BOGOTA  - AUT,,	2005-04-10,,Operational,Unknown,Land (fixed),0-170-0-21206960|primary,South America,Brazil,Colombia,4.60804,-74.07272,2646,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Warm Temperate - Fully humid - Warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within mountains of high altitude,,"GBON:Operational, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
IPIALES/SAN LUIS,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-80370|primary,South America,Brazil,Colombia,0.8166666667,-77.6333333333,2691,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
JABALCON,,	1963-05-15,,Operational,Operational,Land (fixed),0-170-0-21135020|primary,South America,Brazil,Colombia,3.85583,-75.01572,313,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
JARDIN BOTANICO  - AUT,,	1974-09-14,,Operational,Unknown,Land (fixed),0-170-0-21205710|primary,South America,Brazil,Colombia,4.66786,-74.10102,2555,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Warm temperate - Dry and warm summer,Mosaic forest or shrubland (50-70%) / grassland (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,942|4440,"GBON:Operational, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
JEGUA,,	1968-03-15,,Operational,Unknown,Land (fixed),0-170-0-25027240|primary,South America,Brazil,Colombia,8.90631,-74.96594,20,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
JUAN DE ACOSTA,,	1964-01-14,,Operational,Partly operational,Land (fixed),0-170-0-29045110|primary,South America,Brazil,Colombia,10.8339,-75.04611,59,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
LA ARGENTINA,,	1958-12-15,,Operational,Operational,Land (fixed),0-170-0-21050060|primary,South America,Brazil,Colombia,2.19905,-75.97228,1540,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
LA BETULIA,,	1985-12-15,,Operational,Unknown,Land (fixed),0-170-0-21045010|primary,South America,Brazil,Colombia,2.28158,-75.70508,780,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
LA CABRERA,,	1974-09-15,,Operational,Operational,Land (fixed),0-170-0-23065120|primary,South America,Brazil,Colombia,5.14101,-74.13987,1895,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
LA CAMPINA AUT,,	1992-11-15,,Operational,Unknown,Land (fixed),0-170-0-21209200|primary,South America,Brazil,Colombia,4.30489,-74.79378,425,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
LA ESPERANZA NECHI,,	1975-03-09,,Operational,Unknown,Land (fixed),0-170-0-27037010|primary,South America,Brazil,Colombia,8.03194,-74.78881,33,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
LA FLORIDA,,	1970-11-15,,Operational,Operational,Land (fixed),0-170-0-21205670|primary,South America,Brazil,Colombia,4.77089,-74.43764,1843,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
LA LAGUNA DEL OTUN  - AUT,,	2005-10-10,,Operational,Silent,Land (fixed),0-170-0-26135330|primary,South America,Brazil,Colombia,4.7764,-75.4125,3944,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
LA PLATA - AUT,,	2005-07-20,,Operational,Silent,Land (fixed),0-170-0-21115170|primary,South America,Brazil,Colombia,2.7591,-75.0746,2101,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
LA PRIMAVERA,,	2021-02-15,,Operational,Unknown,Land (fixed),0-170-0-3526500201|primary,South America,Brazil,Colombia,5.48089,-70.4213,114,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
LA RAYA,,	1975-03-15,,Operational,Unknown,Land (fixed),0-170-0-25027910|primary,South America,Brazil,Colombia,8.34444,-74.56083,40,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
LA SELVA - AUT,,	2004-10-10,,Operational,Silent,Land (fixed),0-170-0-23085260|primary,South America,Brazil,Colombia,6.1319,-75.4146,2125,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2022-08-29,Jorge Andres Gonzalez Rojas
LA VIRGINIA AUT,,	1946-10-15,,Operational,Unknown,Land (fixed),0-170-0-26177030|primary,South America,Brazil,Colombia,4.8925,-75.88269,922,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
LAGUNA LA PLAZA,,	2010-09-17,,Operational,Partly operational,Land (fixed),0-170-0-35095130|primary,South America,Brazil,Colombia,6.362,-72.28202,4378,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-06-26,COL NMHS
LAS CANAS AUT,,	2019-07-21,,Operational,Unknown,Land (fixed),0-170-0-2403000113|primary,South America,Brazil,Colombia,6.6058,-72.4836,3343,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
LAS CINTAS,,	2016-12-31,,Operational,Unknown,Land (fixed),0-170-0-35160000|primary,South America,Brazil,Colombia,5.61428,-72.86747,3400,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
LAS GAVIOTAS,,	1971-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80241|primary,South America,Brazil,Colombia,4.55,-70.9166666667,171,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;SOILTEMP;SPECI;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2016-04-28,
LAS IGLESIAS  - AUT,,	2017-06-20,,Operational,Silent,Land (fixed),0-170-0-5205500123|primary,South America,Brazil,Colombia,1.0548,-77.2703,2973,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
LAS MERCEDES AUT,,	2019-07-21,,Operational,Unknown,Land (fixed),0-170-0-2403000114|primary,South America,Brazil,Colombia,6.5774,-72.479,2653,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
LETICIA/VASQUEZ COBO,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-80398|primary,South America,Brazil,Colombia,-4.1666666667,-69.95,84,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBSN(ST);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBON:Operational, RBSN(ST) - deprecated:Closed",	2022-08-04,Jorge Andres Gonzalez Rojas
LLANO ALARCON,,	2016-12-31,,Operational,Unknown,Land (fixed),0-170-0-35160020|primary,South America,Brazil,Colombia,5.59972,-72.91347,339,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-28,COL NMHS
LOS ALAMOS - AUT,,	2013-05-05,,Operational,Partly operational,Land (fixed),0-170-0-25025002|primary,South America,Brazil,Colombia,9.30455,-74.27321,33,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
LOS ESTEROS,,	1974-11-15,,Operational,Unknown,Land (fixed),0-170-0-35197030|primary,South America,Brazil,Colombia,5.17969,-72.56839,368,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-28,COL NMHS
