Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
Bogotá,,	1998-01-01,,Operational,Unknown,Land (fixed),0-20008-0-BGT|primary,South America,Brazil,Colombia,4.5988888741,-74.0808334351,2541,,UTC-5,,http://www.ideam.gov.co,,"Bogotá a city in central Colombia, is the country's capital, located on a mountain rimmed plateau high in the Cordillera Oriental of the Andes Mountains called the ""Sabana de Bogotá"", which is about 30 km wide and 70 km long. A high Andean Mountain range rises to the East of the city, with the downtown area resting at the foot of Monserrate and Guadalupe Mountains. Today the city is a cosmopolitan metropolis which still has some vestiges of the Spanish Colonial era. It is the political, industrial, economic and cultural center of the country. ",Warm Temperate - Fully humid - Warm summer,,,,,GAW Regional:Operational,	2009-03-13,
CACHIRI  - AUT,,	1971-06-14,,Silent,Silent,Land (fixed),0-170-0-23195200|primary,South America,Brazil,Colombia,7.47389,-72.99111,1885,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,6|740,RBON:Non-reporting,	2023-08-12,Jorge Andres Gonzalez Rojas
CALI/ALFONSO BONILLA ARAGON,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-80259|primary,South America,Brazil,Colombia,3.55,-76.3833333333,961,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;METAR;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
CARDON EL,,	1974-05-15,,Operational,Operational,Land (fixed),0-170-0-35235010|primary,South America,Brazil,Colombia,6.0117,-72.52928,3590,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,8|200,RBON:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
CARMEN DE CARUPA  - AUT,,	2010-03-30,,Silent,Silent,Land (fixed),0-170-0-24015380|primary,South America,Brazil,Colombia,5.34819,-73.89817,2960,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
CARTAGENA/RAFAEL NUNEZ,,	2005-05-06,,Operational,Operational,Land (fixed),0-20000-0-80022|primary,South America,Brazil,Colombia,10.45,-75.5166666667,1,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-02,Jorge Andres Gonzalez Rojas
CERROS NOROCCIDENTALES  - AUT,,	2005-10-17,,Operational,Silent,Land (fixed),0-170-0-21215160|primary,South America,Brazil,Colombia,4.4704,-75.2439,1946,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2022-08-29,Jorge Andres Gonzalez Rojas
CERTEGUI,,	1967-01-15,,Operational,Operational,Land (fixed),0-170-0-11030010|primary,South America,Brazil,Colombia,5.3736,-76.6046,54,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
CHINACOTA - AUT,,	2017-07-01,,Silent,Silent,Land (fixed),0-170-0-3701500114|primary,South America,Brazil,Colombia,7.4012,-72.55028,2628,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
CHINAVITA - AUT,,	2005-03-06,,Silent,Silent,Land (fixed),0-170-0-35075070|primary,South America,Brazil,Colombia,5.21639,-73.34697,2006,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-12,Jorge Andres Gonzalez Rojas
CHITA  - AUT,,	1970-12-14,,Silent,Silent,Land (fixed),0-170-0-24035250|primary,South America,Brazil,Colombia,6.18778,-72.46556,2961,,,,,,,,,,,8|200,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
CINERA-VILLA OLGA,,	1965-09-15,,Silent,Silent,Land (fixed),0-170-0-16025040|primary,South America,Brazil,Colombia,8.16728,-72.47878,96,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,121|920,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
CLARAVAL,,	1972-02-15,,Operational,Partly operational,Land (fixed),0-170-0-35060210|primary,South America,Brazil,Colombia,4.6489,-73.64083,2148,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
COLEGIO AGROPECUARIO PAILITAS - AUT,,	1987-09-15,,Silent,Silent,Land (fixed),0-170-0-25025330|primary,South America,Brazil,Colombia,8.95413,-73.63033,76,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,10|220,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
CONDOTO/MANDINGA,,,,Operational,Unknown,Land (fixed),0-20000-0-80143|primary,South America,Brazil,Colombia,5.0833333333,-76.7,72,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
CORINTO - AUT,,	2017-12-20,,Silent,Silent,Land (fixed),0-170-0-2604500039|primary,South America,Brazil,Colombia,3.18,-76.25,1036,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-10,Jorge Andres Gonzalez Rojas
COROZAL/LAS BRUJAS,,,,Operational,Unknown,Land (fixed),0-20000-0-80044|primary,South America,Brazil,Colombia,9.3333333333,-75.2833333333,81,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
CRISTO REY  - AUT,,	1973-10-14,,Operational,Silent,Land (fixed),0-170-0-12045020|primary,South America,Brazil,Colombia,9.0711,-76.2244,15,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,4|310,GOS General:Operational,	2022-03-30,COL NMHS
CRUCES LAS,,	1974-10-15,,Operational,Partly operational,Land (fixed),0-170-0-21140120|primary,South America,Brazil,Colombia,3.42586,-74.92025,1489,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
CUCUNUBA AUTOMATICA,,	2018-03-12,,Silent,Unknown,Land (fixed),0-170-0-2401500040|primary,South America,Brazil,Colombia,5.21957,-73.78229,2818,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,"GBON:Non-reporting, GOS General:Non-reporting",	2023-08-13,Jorge Andres Gonzalez Rojas
CUCUTA/CAMILO DAZA,,	1961-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-80097|primary,South America,Brazil,Colombia,7.9333333333,-72.5166666667,250,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-08-02,Jorge Andres Gonzalez Rojas
Caracoli,,	2016-12-22,,Silent,Silent,Land (fixed),0-170-0-2802500079|primary,South America,Brazil,Colombia,10.08869,-73.73167,120,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of low altitude,,GOS General:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
Coconuco,Coconuco [26010020],	1947-01-01,,Operational,Unknown,Land (fixed),0-170-0-26010020|primary,South America,Brazil,Colombia,2.343361,-76.4955,2419,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,22|510,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
DUITAMA - AUT,,	2017-10-16,,Silent,Unknown,Land (fixed),0-170-0-2403500041|primary,South America,Brazil,Colombia,5.78755,-73.05155,2492,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,"GBON:Non-reporting, RBON:Non-reporting",	2023-08-11,Jorge Andres Gonzalez Rojas
Dinde,Dinde [26030070],	1975-12-01,,Operational,Unknown,Land (fixed),0-170-0-26030070|primary,South America,Brazil,Colombia,2.697417,-76.754722,1246,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,14|560,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
EL BANCO/LAS FLORES,,,,Operational,Unknown,Land (fixed),0-20000-0-80074|primary,South America,Brazil,Colombia,9.0666666667,-73.9833333333,34,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
EL CALVARIO - AUT,,	2018-04-13,,Operational,Unknown,Land (fixed),0-170-0-3503500062|primary,South America,Brazil,Colombia,4.3502,-73.71152,2014,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GBON:Operational,	2022-11-10,COL NMHS
EL ENCANO - AUT,,	1984-09-14,,Silent,Unknown,Land (fixed),0-170-0-47015100|primary,South America,Brazil,Colombia,1.15994,-77.16147,2830,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Savannah - dry summer,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very high altitude,53|680,"GBON:Non-reporting, RBON:Non-reporting",	2023-08-13,Jorge Andres Gonzalez Rojas
EL ESPINO - AUT,,	2005-11-19,,Silent,Silent,Land (fixed),0-170-0-24035370|primary,South America,Brazil,Colombia,6.50675,-72.45275,3510,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
EL JARDIN CUENCA ALTA RIO RISARALDA - AUT,,	2017-04-29,,Unknown,Unknown,Land (fixed),0-170-0-2614500116|primary,South America,Brazil,Colombia,5.5934,-75.7964,25,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON,	2022-11-12,Jorge Andres Gonzalez Rojas
EL LIBANO,,	1985-12-15,,Operational,Operational,Land (fixed),0-170-0-21035040|primary,South America,Brazil,Colombia,1.87,-75.83,1045,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
EL PARAMO - AUT,,	1974-06-14,,Silent,Silent,Land (fixed),0-170-0-24030680|primary,South America,Brazil,Colombia,6.81078,-72.55605,3238,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,5|170,RBON:Non-reporting,	2023-08-12,Jorge Andres Gonzalez Rojas
EL PEPINO - AUT,,	2005-11-11,,Operational,Silent,Land (fixed),0-170-0-44015070|primary,South America,Brazil,Colombia,1.0829,-76.6671,760,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Steppe - Hot arid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2022-03-30,Jorge Andres Gonzalez Rojas
EL PORTILLO - AUT,,	2017-07-02,,Silent,Silent,Land (fixed),0-170-0-3701500117|primary,South America,Brazil,Colombia,7.4012,-72.5503,3926,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-12,Jorge Andres Gonzalez Rojas
EL SILENCIO - AUT,,	2017-12-17,,Silent,Silent,Land (fixed),0-170-0-2121500042|primary,South America,Brazil,Colombia,4.60022,-75.336,2547,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of very high altitude,,GOS General:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
EL TABLAZO - AUT,,	2005-06-28,,Operational,Unknown,Land (fixed),0-170-0-26015010|primary,South America,Brazil,Colombia,2.47489,-76.58128,1837,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
EL TAMBO - AUT,,	2017-06-30,,Operational,Unknown,Land (fixed),0-170-0-26030160|primary,South America,Brazil,Colombia,2.463056,-76.812292,1700,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Operational,	2023-06-20,COL NMHS
EL TUNEL,,	2016-12-31,,Operational,Operational,Land (fixed),0-170-0-35165000|primary,South America,Brazil,Colombia,5.57497,-72.941,3074,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
EL VINCULO - AUT,,	2005-06-24,,Silent,Unknown,Land (fixed),0-170-0-26095320|primary,South America,Brazil,Colombia,3.36042,-76.30001,980,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GBON:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
ELDORADO CATAM - AUT,,	2002-10-30,,Operational,Unknown,Land (fixed),0-170-0-21205791|primary,South America,Brazil,Colombia,4.70558,-74.15067,2547,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Warm temperate - Dry and warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within hills of high altitude,,"GBON:Operational, RBON:Operational",	2022-11-12,Jorge Andres Gonzalez Rojas
EMAS - AUT,,	2004-06-10,,Operational,Silent,Land (fixed),0-170-0-26155230|primary,South America,Brazil,Colombia,5.0853,-75.5071,2211,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
ESCUELA AGRICOLA CARRAIPIA  - AUT,,	1968-10-14,,Operational,Operational,Land (fixed),0-170-0-15085030|primary,South America,Brazil,Colombia,11.2168,-72.3599,118,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,15|270,GOS General:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
ESCUELA NAVAL BARRANQUILLA  - AUT,,	2016-06-09,,Silent,Unknown,Land (fixed),0-170-0-29004520|primary,South America,Brazil,Colombia,11.00639,-74.785,10,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Steppe - Hot arid,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at lowest relative elevation within rises of very low altitude,,"GBON:Non-reporting, RBON:Non-reporting",	2023-08-11,Jorge Andres Gonzalez Rojas
El Rosario,El Rosario [26020230],	1971-04-13,,Operational,Unknown,Land (fixed),0-170-0-26020230|primary,South America,Brazil,Colombia,2.606556,-76.756083,1767,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,36|540,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Esc VOC De Tunia,Esc VOC De Tunia [26020060],	1980-05-15,,Operational,Unknown,Land (fixed),0-170-0-26020060|primary,South America,Brazil,Colombia,2.7,-76.516667,1800,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,27|620,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
Escuela Rio Sucio 2,Escuela Rio Sucio 2 [21050310],	1984-01-01,,Operational,Unknown,Land (fixed),0-170-0-21050310|primary,South America,Brazil,Colombia,2.446833,-76.168917,2750,GPS,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,9|310,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
FARALLONES - AUT,,	2005-06-28,,Silent,Silent,Land (fixed),0-170-0-26055100|primary,South America,Brazil,Colombia,3.41603,-76.65156,2275,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,GOS General:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
FEDEARROZ - AUT,,	2005-08-16,,Silent,Silent,Land (fixed),0-170-0-28035060|primary,South America,Brazil,Colombia,10.46361,-73.24806,184,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Savannah - dry summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of low altitude,,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
FLORENCIA - AUT,,	2006-02-03,,Operational,Silent,Land (fixed),0-170-0-44035040|primary,South America,Brazil,Colombia,1.733,-75.645,600,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
FLORENCIA/CAPITOLIO,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80354|primary,South America,Brazil,Colombia,1.6,-75.5333333333,244,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
FLORIDABLANCA - AUT,,	2018-04-11,,Silent,Unknown,Land (fixed),0-170-0-2319500043|primary,South America,Brazil,Colombia,7.0568,-73.1094,980,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Warm Temperate - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Non-reporting, GOS General:Non-reporting",	2023-08-12,Jorge Andres Gonzalez Rojas
Florida La GJA,"Florida La GJA [21010220],Morelia,Morelia [21010220]",	1962-01-01,,Operational,Unknown,Land (fixed),0-170-0-21010220|primary,South America,Brazil,Colombia,2.533333,-76.616667,1600,GPS,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial rainforest - fully humid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,8|280,GOS General:Operational,	2022-12-06,Jorge Andres Gonzalez Rojas
GABRIEL_LOPEZ,GABRIEL LOPEZ,	1971-04-15,,Operational,Unknown,Land (fixed),0-170-0-26025070|primary,South America,Brazil,Colombia,2.50975,-76.289056,3071,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Monsoon,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,|,GOS General:Operational,	2023-06-20,COL NMHS
GIRARDOT/SANTIAGO VILLA,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80219|primary,South America,Brazil,Colombia,4.2833333333,-74.8,286,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2016-04-28,
GRANJA EL MIRA - - AUT,,	2016-08-01,,Operational,Silent,Land (fixed),0-170-0-51025090|primary,South America,Brazil,Colombia,1.55,-78.7,16,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
GRANJA EXPERIMENTAL EL NUS  - AUT,GRANJA EXPERIOMENTAL EL NUS  - AUT,	1972-05-14,,Silent,Unknown,Land (fixed),0-170-0-23085080|primary,South America,Brazil,Colombia,6.48358,-74.83669,859,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,10|230,GBON:Non-reporting,	2023-08-13,Jorge Andres Gonzalez Rojas
GRANJA GUAYATA - AUT,,	2017-12-18,,Silent,Silent,Land (fixed),0-170-0-3507500046|primary,South America,Brazil,Colombia,4.9761,-73.4826,1580,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-12,Jorge Andres Gonzalez Rojas
GUACHACA - AUT,,	2018-09-14,,Silent,Unknown,Land (fixed),0-170-0-1509500118|primary,South America,Brazil,Colombia,11.21015,-73.84445,246,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Steppe - Hot arid,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,,"GBON:Non-reporting, GOS General:Non-reporting",	2023-08-11,Jorge Andres Gonzalez Rojas
GUAMO,,	1953-12-15,,Operational,Operational,Land (fixed),0-170-0-21185030|primary,South America,Brazil,Colombia,4.00883,-74.98139,324,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
GUAPI,,	1980-01-01,,Operational,Unknown,Land (fixed),0-20000-0-80300|primary,South America,Brazil,Colombia,2.5833333333,-77.9,54,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
GUATAPURI - AUT,,	2014-12-11,,Silent,Silent,Land (fixed),0-170-0-28035070|primary,South America,Brazil,Colombia,10.73213,-73.39241,1276,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Non-reporting,	2023-08-11,Jorge Andres Gonzalez Rojas
